LON,LAT,ESTADO,CVE_SIH,NOMBRE_ESTACION,DIC
-98.94,20.27,HGO,ACTHD,ACTOPAN,6.8
-98.33,21.02,HGO,ATCHD,ATLAPESCO,30.2
-99.36,20.16,HGO,ENDHD,PRESA ENDO,12.5
-99.63,20.36,HGO,HCPHD,HUICHAPAN,5.8
-98.42,21.15,HGO,HJTHD,HUEJUTLA,76.4
-98.37,21.15,HGO,HUEHD,"HUEJUTLA, HGO. AUTOMATICA",90.7
-99.22,20.48,HGO,IXMHD,IXMIQUILPAN,16.8
-99.18,21.08,HGO,LMTHD,MEZTITLAN,0
-99.22,20.24,HGO,MXQHD,MIXQUIAHUALA,11
-99.33,20.73,HGO,PRGHD,P.ROJO GOMEZ (LA PE—A),8
-99.31,19.97,HGO,PRQHD,PRESA REQUENA,12
-99.38,20.44,HGO,PVAHD,PRESA VICENTE AGUIRRE,9
-98.37,20.08,HGO,TLGHD,TULANCINGO,12.4
-99.39,19.84,HGO,TXMHD,TAXHIMAY,18
-99.5,20.66,HGO,ZMPHD,PRESA ZIMAPAN,9.5
-98.65,20.65,HGO,ZXTHD,ZACUALTIPAN,32.6
-102.44,21.6,JAL,AJJJL,AJOJUCAR,68.6
-104.06,19.91,JAL,BBAJL,BASILIO BADILLO,78.5
-103.2,20.29,JAL,CHAJL,"Chapala 1, Jal.  SMN*",7.4
-105.07,20.03,JAL,CPEJL,CAJON DE PEÒA,116.5
-103.45,21.07,JAL,CXTJL,CUIXTLA,46.1
-103.33,20.73,JAL,EXPJL,LA EXPERIENCIA,81
