  LON,   LAT,   ESTADO,     CVE_SIH,NOMBRE_ESTACION, ABR
-98.41,16.47,GRO,CNLGR,CUAJINICUILAPA,0
-99.66,18.25,GRO,COCGR,COCULA,0
-101.05,17.38,GRO,CYQGR,COYUQUILLA,0
-99.72,17.32,GRO,ECAGR,EL CARACOL,33.6
-100.68,18.52,GRO,EGLGR,P. EL GALLO,0
-99.55,18.35,GRO,IGLGR,IGUALA,0.5
-101,18.45,GRO,LCLGR,LA CALERA,0
-100.02,16.96,GRO,LDCGR,LAGUNA DE COYUCA,0
-99.24,16.76,GRO,LDGGR,LAS VIGAS,0
-99.37,17.47,GRO,MCHGR,MOCHITLAN,2.4
-99.8,16.8,GRO,ODAGR,OBSERVATORIO DE ACAPULCO,0
-99.5,17.6,GRO,ODZGR,OBSERVATORIO DE ZUMPANGO,25
-98.74,17.78,GRO,OLNGR,OLINALA,7
-98.43,16.68,GRO,OMEGR,OMETEPEC,0
-99.2,16.8,GRO,RMEGR,REVOLUCION MEXICANA,0
-100.47,17.14,GRO,SJEGR,SAN JERONIMO,0
-99.61,18.55,GRO,TAXGR,TAXCO,19.2
-100.63,17.26,GRO,TECGR,TECPAN DE GALEANA,0
-99.98,17.79,GRO,TLAGR,TLACOTEPEC,24.9
-98.6,17.5,GRO,TLPGR,TLAPA,10.3
-99.4,17.57,GRO,TXTGR,TIXTLA,4.7
-100.27,18.39,GRO,VGRGR,P. VICENTE GUERRERO,0
-99.5,18.42,GRO,VTRGR,PRESA VALERIO TRUJANO,0
-98.49,17.9,GRO,XXHGR,XOCHIHUEHUETLAN,12.5
-101.55,17.65,GRO,ZHTGR,ZIHUATANEJO,0
-101.52,20.43,GTO,ABSGJ,ABASOLO,0
-100.72,20.03,GTO,ACNGJ,ACAMBARO,0
-100.68,20.53,GTO,AEGGJ,APASEO EL GRANDE,1.7
-100.58,20.55,GTO,AMCGJ,AMECHE,34.5
-101.37,20.71,GTO,ANSGJ,ARANDAS,2.2
-100.62,20.45,GTO,APSGJ,APASEO EL ALTO,0
-101.63,20.5,GTO,ATBGJ,AGUA TIBIA,0
-100.83,20.85,GTO,BEGGJ,LA BEGO—A (HIDROM. IGNACIO ALLENDE),0
-101.83,21.05,GTO,BRRGJ,PRESA EL BARRIAL,0
-100.9,20.28,GTO,CBOGJ,"EL CUBO, (AUTOMATICA)",0
-100.82,20.53,GTO,CLYGJ,CELAYA,0
-101.47,21.07,GTO,COMGJ,COMANJILLA,0
-100.36,20.2,GTO,CORGJ,CORONEO,2.3
-101.67,20.62,GTO,CRMGJ,CUERAMARO,0.8
-100.95,20.48,GTO,CRTGJ,CORTAZAR,0
-100.9,20.95,GTO,CSRGJ,CINCO SEÒORES,0
-101.67,21.19,GTO,CSSGJ,LOS CASTILLOS(CANALES),0
-101.67,21.2,GTO,CSTGJ,LOS CASTILLOS,0
-100.93,21.15,GTO,DHGGJ,DOLORES HIDALGO,0
-100.5,20.2,GTO,ECBGJ,EL CUBO,0
-101.2,20.9,GTO,ECHGJ,EL CHAPIN,0
-101.37,20.73,GTO,ECNGJ,PRESA EL CONEJO,2.2
-101.67,21.17,GTO,EPLGJ,EL PALOTE,0
-101.75,20.43,GTO,GLNGJ,PRESA LA GOLONDRINA,0
-101.27,21.01,GTO,GTOGJ,GUANAJUATO,0.5
-100.82,20.83,GTO,IALGJ,IGNACIO ALLENDE,0
-101.35,20.68,GTO,IRPGJ,IRAPUATO,0
-100.52,20.13,GTO,JCRGJ,JERECUARO,0
-101,20.4,GTO,JDPGJ,JARAL DEL PROGRESO,0
-101.83,20.67,GTO,LADGJ,LAS ADJUNTAS,0
-101.13,20.22,GTO,LDYGJ,SANTA MARIA YURIRIA,0
-101.67,21.1,GTO,LENGJ,LEON,0
-100.87,20.38,GTO,LGVGJ,P. LA GAVIA,2.5
-101.36,20.28,GTO,LJIGJ,LAS JICAMAS,0
-101,20.3,GTO,LMTGJ,LOMO DE TORO,0
-101.11,21.32,GTO,LQMGJ,LA QUEMADA,0.2
-101.95,20.5,GTO,MABGJ,MARIANO ABASOLO,0
-100.58,20.56,GTO,MCHGJ,"AMECHE, (AUTOMATICA)",36
-101.19,20.13,GTO,MORGJ,MOROLEON,0
-101.52,21.63,GTO,OCMGJ,OCAMPO,0
-100.83,20.85,GTO,PALGJ,"PRESA ALLENDE, GTO.  SMN",0
-101.06,20.52,GTO,PCSGJ,"PERICOS, (AUTOMATICA)",0
-100.9,21.1,GTO,PDLGJ,PUENTE DOLORES                      *,0
