LON,LAT,ESTADO,CVE_SIH,NOMBRE_ESTACION,OCT
-99.15,19.51,DF,PRRDF,P. T. RIO REMEDIOS,51
-99.02,19.3,DF,PSCDF,P. T. SANTA CATARINA,59.8
-99.05,19.23,DF,PSLDF,PLANTA SAN LUIS,63.9
-99.16,19.47,DF,PSNDF,P. B. NUEVA SANTA MARIA,116.1
-99.17,19.26,DF,PSPDF,"P. SAN PEDRO MARTIR, DF",14.5
-99.19,19.51,DF,PTRDF,P. T. ROSARIO,111.6
-99.13,19.29,DF,PVCDF,P. B. VILLA COAPA,97.6
-99.14,19.33,DF,PXTDF,PLANTA XOTEPINGO,90.5
-99.19,19.3,DF,RBTDF,REBOMBEO BOSQUE TLALPAN(B TLALPAN),107.1
-99.17,19.4,DF,RCMDF,RADIO COMUNICACION,95.4
-99,19.17,DF,SANDF,SANTA ANA,32.6
-99.28,19.33,DF,SBADF,SAN BARTOLO AMEYALCO,110.8
-99.03,19.34,DF,SCMDF,SANTA CRUZ MEYEHUALCO,51.3
-99.12,19.58,DF,SGDDF,SIERRA GUADALUPE,17.1
-99.07,19.47,DF,SJADF,SAN JUAN DE ARAGON,60
-99.01,19.28,DF,SPPDF,SAN PEDRO TLAHUAC,53.4
-98.96,19.32,DF,SSCDF,S. ELEC. SANTA CATARINA(LA CALERA),49.9
-99.14,19.56,DF,TCMDF,TANQUE CHALMITA,84.5
-99.27,19.37,DF,TECDF,TANQUE EL CARTERO,73.2
-99.25,19.33,DF,TELDF,TANQUE EL LIENZO,56.8
-99.21,19.4,DF,TNGDF,TRIANGULO,94.7
-99.14,19.2,DF,TPJDF,TOPILEJO,122.8
-99.08,19.44,DF,TPNDF,TANQUE PEÒON,51
-99.21,19.36,DF,TRGDF,TARANGO,66.9
-99.25,19.32,DF,TSFDF,T. SAN FRANCISCO,99.9
-99.23,19.44,DF,TSJDF,T. SAN JOAQUIN,79.2
-99.26,19.36,DF,TSLDF,TRIF. SANTA LUCIA (SANTA FE),49.6
-98.97,19.21,DF,TTLDF,TETELCO,58.1
-99.21,19.51,DF,VDCDF,VASO DE CRISTO (SACM),86.3
-104.07,25.26,DGO,AM2DR,"AGUSTIN MELGAR, (AUTOMATICA)",0.8
-104.48,26.24,DGO,APRDR,AGUA PUERCA,25.3
-104.7,24,DGO,CAGDR,CAMPO AGRICOLA,7.1
-104.8,24.52,DGO,CB2DR,CABORACA (HIDRO),36
-104.8,24.52,DGO,CBRDR,P. CABORACA,36.2
-104.07,26.3,DGO,CEBDR,CEVALLOS,5.7
-104.12,24.44,DGO,CGVDR,CIUDAD GUADALUPE VICTORIA,40.4
-103.52,25.53,DGO,CLRDR,CIUDAD LERDO,33.1
-103.7,24.87,DGO,CNCDR,CUENCAME,16.6
-104.75,24.5,DGO,CNTDR,CANATLAN,35.8
-104.67,24.03,DGO,DRGDR,DURANGO,22.3
-103.96,24,DGO,FV2DR,FRANCISCO VILLA (HIDRO),14.5
-103.96,24,DGO,FVLDR,PRESA FRANCISCO VILLA,14.8
-103.78,25.27,DGO,FZRDR,PRESA FRANCISCO ZARCO,12
-105.25,25.5,DGO,GESDR,GENERAL ESCOBEDO,12
-105.96,25.93,DGO,GNCDR,GUANACEVI,0
-104.75,23.96,DGO,GVCDR,PRESA GUADALUPE VICTORIA,67.8
-104.75,23.96,DGO,GVHDR,GUADALUPE VICTORIA,67.7
-105,25.61,DGO,LCRDR,PRESA LAZARO CARDENAS,18.9
-103.28,25.06,DGO,LFLDR,LA FLOR,30.4
-103.31,24.63,DGO,LNRDR,PRESA LOS NARANJOS,14
-105.47,24.19,DGO,LVEDR,"LAS VEGAS, (AUTOMATICA)",44.7
-103.85,25.82,DGO,MPMDR,MAPIMI,11
-104.11,25.23,DGO,NZSDR,NAZAS,18
-104.66,24.24,DGO,PA2DR,PE—A DEL AGUILA (HIDRO),21.6
-104.66,24.24,DGO,PAGDR,PRESA PEÒA DEL AGUILA,21.9
-106.37,26.13,DGO,ROSDR,LA ROSILLA,6
-104.9,25.75,DGO,RPADR,RADAR PALMITO,1
-105.44,25.23,DGO,SACDR,SALOME ACOSTA,16.3
-104.67,23.87,DGO,SB2DR,SANTIAGO BAYACORA (HIDRO),27.3
-104.67,23.87,DGO,SBYDR,P. SANTIAGO BAYACORA,27.3
-104.05,23.62,DGO,SELDR,PRESA SANTA ELENA,46.2
-105.55,26.42,DGO,SGBDR,SAN GABRIEL,0
-106.13,24.44,DGO,SJRDR,SAN JOSE DE REYES,28
-105.37,25.95,DGO,SMODR,SANTA MARIA DEL ORO,10.1
-105.42,25.04,DGO,SPPDR,SANTIAGO PAPASQUIARO,23.5
-105.57,26.08,DGO,SRDDR,SARDINAS,0
-103.44,26.11,DGO,THODR,TLAHUALILO,58
-105.73,25.34,DGO,TLHDR,TEPEHUANES,1
-106.98,24.93,DGO,TMZDR,TAMAZULA,0.1
-104.5,26.1,DGO,VHGDR,P. VILLA HIDALGO,23.6
-105.5,26.44,DGO,VOCDR,VILLA OCAMPO,8
-99.91,16.85,GRO,ACAGR,ACAPULCO,249.9
-99.75,16.76,GRO,ACUGR,"ACAPULCO, (AUTOMATICA)",414.3
-99.5,17.5,GRO,AERGR,AEROPUERTO,49.1
-98.98,17.72,GRO,AHUGR,AHUACUOTZINGO,47.5
-99.1,16.95,GRO,AYUGR,AYUTLA,253
-99.2,18.2,GRO,BVSGR,BUENA VISTA,114
-100.66,18.35,GRO,CA2GR,"CD. ALTAMIRANO, (AUTOMATICA)",0
-100.66,18.36,GRO,CALGR,CIUDAD ALTAMIRANO,94.9
-100.63,18.33,GRO,CDBGR,COYUCA DE BENITEZ,0
-99.5,17.55,GRO,CHIGR,CHILPANCINGO,108.8
-99.18,17.61,GRO,CHLGR,CHILAPA,89.5
-98.41,16.47,GRO,CNLGR,CUAJINICUILAPA,92.5
-99.66,18.25,GRO,COCGR,COCULA,45.9
-98.97,16.61,GRO,COPGR,COPALA,90
-101.05,17.38,GRO,CYQGR,COYUQUILLA,138.5
-99.72,17.32,GRO,ECAGR,EL CARACOL,70.7
-100.68,18.52,GRO,EGLGR,P. EL GALLO,81.8
-99.55,18.35,GRO,IGLGR,IGUALA,20.2
-101,18.45,GRO,LCLGR,LA CALERA,10
-100.02,16.96,GRO,LDCGR,LAGUNA DE COYUCA,112.6
-99.24,16.76,GRO,LDGGR,LAS VIGAS,100.2
-99.48,18.35,GRO,LDTGR,LAGUNA DE TUXPAN,19.6
-99.37,17.47,GRO,MCHGR,MOCHITLAN,89.4
-99.8,16.8,GRO,ODAGR,OBSERVATORIO DE ACAPULCO,364.7
-99.5,17.6,GRO,ODZGR,OBSERVATORIO DE ZUMPANGO,88
-98.74,17.78,GRO,OLNGR,OLINALA,61.5
-98.43,16.68,GRO,OMEGR,OMETEPEC,146.8
-99.2,16.8,GRO,RMEGR,REVOLUCION MEXICANA,28.9
-100.47,17.14,GRO,SJEGR,SAN JERONIMO,305.6
-99.48,16.8,GRO,SNMGR,SAN MARCOS                          *,170.6
-99.61,18.55,GRO,TAXGR,TAXCO,0
-100.63,17.26,GRO,TECGR,TECPAN DE GALEANA,0
-99.98,17.79,GRO,TLAGR,TLACOTEPEC,348.7
-98.6,17.5,GRO,TLPGR,TLAPA,31.5
-99.4,17.57,GRO,TXTGR,TIXTLA,54.1
-100.27,18.39,GRO,VGRGR,P. VICENTE GUERRERO,183.4
-99.5,18.42,GRO,VTRGR,PRESA VALERIO TRUJANO,22.9
-98.49,17.9,GRO,XXHGR,XOCHIHUEHUETLAN,65.9
-101.55,17.65,GRO,ZHTGR,ZIHUATANEJO,179.4
-101.52,20.43,GTO,ABSGJ,ABASOLO,33.5
-100.72,20.03,GTO,ACNGJ,ACAMBARO,61.1
-100.68,20.53,GTO,AEGGJ,APASEO EL GRANDE,10.7
-100.58,20.55,GTO,AMCGJ,AMECHE,33.8
-101.37,20.71,GTO,ANSGJ,ARANDAS,50
-100.62,20.45,GTO,APSGJ,APASEO EL ALTO,25.1
-101.63,20.5,GTO,ATBGJ,AGUA TIBIA,38
-100.83,20.85,GTO,BEGGJ,LA BEGO—A (HIDROM. IGNACIO ALLENDE),18.2
-101.83,21.05,GTO,BRRGJ,PRESA EL BARRIAL,69.2
-100.9,20.28,GTO,CBOGJ,"EL CUBO, (AUTOMATICA)",95.8
-100.82,20.53,GTO,CLYGJ,CELAYA,10.2
-101.47,21.07,GTO,COMGJ,COMANJILLA,44
-100.36,20.2,GTO,CORGJ,CORONEO,74.6
-101.67,20.62,GTO,CRMGJ,CUERAMARO,35.5
-100.95,20.48,GTO,CRTGJ,CORTAZAR,10.5
-100.9,20.95,GTO,CSRGJ,CINCO SEÒORES,40.5
-101.67,21.19,GTO,CSSGJ,LOS CASTILLOS(CANALES),81.6
-101.67,21.2,GTO,CSTGJ,LOS CASTILLOS,81.6
-100.93,21.15,GTO,DHGGJ,DOLORES HIDALGO,16
-100.5,20.2,GTO,ECBGJ,EL CUBO,92
-101.2,20.9,GTO,ECHGJ,EL CHAPIN,53
-101.37,20.73,GTO,ECNGJ,PRESA EL CONEJO,50
-101.67,21.17,GTO,EPLGJ,EL PALOTE,66.9
-101.75,20.43,GTO,GLNGJ,PRESA LA GOLONDRINA,60.5
-101.27,21.01,GTO,GTOGJ,GUANAJUATO,78.9
-100.82,20.83,GTO,IALGJ,IGNACIO ALLENDE,20.4
-101.35,20.68,GTO,IRPGJ,IRAPUATO,34.5
-100.52,20.13,GTO,JCRGJ,JERECUARO,79.8
-101,20.4,GTO,JDPGJ,JARAL DEL PROGRESO,37.8
-101.83,20.67,GTO,LADGJ,LAS ADJUNTAS,72.8
-101.13,20.22,GTO,LDYGJ,SANTA MARIA YURIRIA,19.5
-101.67,21.1,GTO,LENGJ,LEON,60.8
-100.87,20.38,GTO,LGVGJ,P. LA GAVIA,14.5
-101.36,20.28,GTO,LJIGJ,LAS JICAMAS,87
-101,20.3,GTO,LMTGJ,LOMO DE TORO,32.9
-101.11,21.32,GTO,LQMGJ,LA QUEMADA,45.2
-101.95,20.5,GTO,MABGJ,MARIANO ABASOLO,103
-100.58,20.56,GTO,MCHGJ,"AMECHE, (AUTOMATICA)",31.2
-101.19,20.13,GTO,MORGJ,MOROLEON,63
-101.52,21.63,GTO,OCMGJ,OCAMPO,21
-100.83,20.85,GTO,PALGJ,"PRESA ALLENDE, GTO.  SMN",1.8
-101.06,20.52,GTO,PCSGJ,"PERICOS, (AUTOMATICA)",25.2
-100.9,21.1,GTO,PDLGJ,PUENTE DOLORES                      *,17
-101.13,20.52,GTO,PERGJ,PERICOS,26.5
-100.88,21.1,GTO,PNLGJ,PEÒUELITAS,42.1
-100.5,21.22,GTO,POZGJ,POZOS,10.4
-101.28,20.85,GTO,PRSGJ,PRESA LA PURISIMA,52.2
-101.22,21.48,GTO,SFEGJ,SAN FELIPE,46
-101.02,20.4,GTO,SJLGJ,SANTA JULIA,28.1
-100.39,21,GTO,SJPGJ,SAN J. PAN DE ARRIBA,78.3
-101.2,20.57,GTO,SLMGJ,SALAMANCA,93.1
-100.75,20.58,GTO,SMOGJ,SAN MIGUEL OCTOPAN,1.8
-100.52,21.3,GTO,SLPGJ,SAN LUIS DE LA PAZ,75.5
-100.82,20.05,GTO,SLSGJ,P. SOLIS,59.1
-100.88,20.22,GTO,SLVGJ,SALVATIERRA,63.7
-101.07,20.3,GTO,SRTGJ,SANTA RITA,33.8
-100.75,20.28,GTO,TARGJ,TARIMORO,54.5
-101.3,20.6,GTO,TEMGJ,TEMASCATIO,67.3
-100.8,20.5,GTO,TGRGJ,TRES GUERRAS,37
-101.37,20.74,GTO,TPCGJ,TEPALCATES,40.9
-101.18,20.39,GTO,VDSGJ,V. DE SANTIAGO,57.5
-100.09,21.3,GTO,XICGJ,XICHU,59.9
-101.02,20.27,GTO,YRDGJ,"YURIRIA CANAL ALIMENTADOR, AUTOM.",86
-98.94,20.27,HGO,ACTHD,ACTOPAN,31.5
-98.33,21.02,HGO,ATCHD,ATLAPESCO,285
-99.36,20.16,HGO,ENDHD,PRESA ENDO,75.5
-99.63,20.36,HGO,HCPHD,HUICHAPAN,58.7
