LON,LAT,ESTADO,CVE_SIH,NOMBRE_ESTACION,NOV
-100.58,20.56,GTO,MCHGJ,"AMECHE, (AUTOMATICA)",6.4
-101.19,20.13,GTO,MORGJ,MOROLEON,22.3
-101.52,21.63,GTO,OCMGJ,OCAMPO,30
-100.83,20.85,GTO,PALGJ,"PRESA ALLENDE, GTO.  SMN",0.3
-101.06,20.52,GTO,PCSGJ,"PERICOS, (AUTOMATICA)",34.8
-100.9,21.1,GTO,PDLGJ,PUENTE DOLORES                      *,85
-101.13,20.52,GTO,PERGJ,PERICOS,35.1
-100.88,21.1,GTO,PNLGJ,PEÒUELITAS,37.8
-100.5,21.22,GTO,POZGJ,POZOS,60.5
-101.28,20.85,GTO,PRSGJ,PRESA LA PURISIMA,30.4
-101.22,21.48,GTO,SFEGJ,SAN FELIPE,61.8
-101.02,20.4,GTO,SJLGJ,SANTA JULIA,42
-101.2,20.57,GTO,SLMGJ,SALAMANCA,14.6
-100.75,20.58,GTO,SMOGJ,SAN MIGUEL OCTOPAN,16.7
-100.52,21.3,GTO,SLPGJ,SAN LUIS DE LA PAZ,33
-100.82,20.05,GTO,SLSGJ,P. SOLIS,16.1
-100.88,20.22,GTO,SLVGJ,SALVATIERRA,29.2
-101.07,20.3,GTO,SRTGJ,SANTA RITA,53.8
-100.75,20.28,GTO,TARGJ,TARIMORO,3.5
-101.3,20.6,GTO,TEMGJ,TEMASCATIO,16.2
-100.8,20.5,GTO,TGRGJ,TRES GUERRAS,4.5
-101.37,20.74,GTO,TPCGJ,TEPALCATES,10.2
-100.09,21.3,GTO,XICGJ,XICHU,35.5
